conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,cleaned_text,sentiment
1965088430192570770,Mon Sep 08 23:59:58 +0000 2025,0,@jokoanwar Boleh kali pak @prabowo langsung reshuffle lagi.. yang ini yaaa liat sendiri paaaak..,1965203488457257345,,jokoanwar,in,,0,0,0,https://x.com/undefined/status/1965203488457257345,762786588791189504,"",boleh kali pak langsung reshuffle lagi yang ini yaaa liat sendiri paaaak,Negatif
1964938136276058227,Mon Sep 08 23:59:56 +0000 2025,1,@DarsAlexandra1 @prabowo itu kelewat 'tersandera' oleh kelompok Joko. Macan pun jd kucing.,1965203482295894431,,DarsAlexandra1,in,,0,0,0,https://x.com/undefined/status/1965203482295894431,1426130292415229958,"",itu kelewat tersandera oleh kelompok joko macan pun jadi kucing,Negatif
1965037818901917748,Mon Sep 08 23:59:36 +0000 2025,0,@sofiesyarief Pak Prabowo omongan mentrimu arogan nantang rakyat.,1965203397562585598,,sofiesyarief,in,,0,0,0,https://x.com/undefined/status/1965203397562585598,1252419798555742209,"",pak prabowo omongan mentrimu arogan nantang rakyat,Negatif
1965200278027956309,Mon Sep 08 23:59:27 +0000 2025,0,@WiedWahyu @prabowo Bgmn rakyat bisa berharap...kl baru diawal sdh ga buat nyaman....,1965203360946278476,,WiedWahyu,in,,0,0,0,https://x.com/undefined/status/1965203360946278476,1228468489511292928,"",bagaimana rakyat bisa berharap kl baru diawal sudah tidak buat nyaman,Negatif
1965181867927474212,Mon Sep 08 23:59:26 +0000 2025,38,@Dahnilanzar @prabowo Jaga nama Muhammadiyah jangan sampai karena duit setumpuk rusak citra se Muhammadiyah. Saya yakin banyak orang Kementerian agama dan kroninya yang tak suka dengan kementerian baru ini. Selamat bekerja Semoga amanah.,1965203356714238023,,Dahnilanzar,in,,0,1,0,https://x.com/undefined/status/1965203356714238023,89084057,"",jaga nama muhammadiyah jangan sampai karena duit setumpuk rusak citra se muhammadiyah saya yakin banyak orang kementerian agama dan kroninya yang tak suka dengan kementerian baru ini selamat bekerja semoga amanah,Negatif
1965059854344782325,Mon Sep 08 23:59:25 +0000 2025,0,@cakimiNOW @prabowo Semoga dengan sinergitas bisa mengentaskan kemiskinan.. Pak tetangga saya termasuk orang ada tp masih mendapatkan PKH..,1965203349969760515,,cakimiNOW,in,,0,0,0,https://x.com/undefined/status/1965203349969760515,429139679,"",semoga dengan sinergitas bisa mengentaskan kemiskinan pak tetangga saya termasuk orang ada tp masih mendapatkan pkh,Positif
1934159348995141652,Mon Sep 08 23:59:08 +0000 2025,0,@NenkMonica @vaniepink @prabowo @titokarnavian_ Setuju plus LBP di ganti,1965203282441437485,,NenkMonica,in,,0,0,0,https://x.com/undefined/status/1965203282441437485,1856228659142766594,"",setuju plus lbp di ganti,Netral
1965203238246121532,Mon Sep 08 23:58:58 +0000 2025,0,prabowo mutusin buat reshuffle menteri keuangan menurut gue adalah hal yang kocak. disaat genting gini harusnya yaudh biarin sri mulyani kelarin dibanding harus dilimpahkan ke org baru pasti lama ga sih ngebaca segala laporan keuangan yg ada. harus adaptasi pula sm bawahanny,1965203238246121532,,,in,,0,0,0,https://x.com/undefined/status/1965203238246121532,1145036898,"",prabowo mutusin buat reshuffle menteri keuangan menurut gue adalah hal yang kocak disaat genting gini harusnya yaudh biarin sri mulyani kelarin dibanding harus dilimpahkan ke org baru pasti lama tidak sih ngebaca segala laporan keuangan yang ada harus adaptasi pula sama bawahanny,Negatif
1965019788813677010,Mon Sep 08 23:58:56 +0000 2025,0,@wibisonoys @democrazymedia Terima kasih telah menandai saya. Berdasarkan berita terkini (8 Sep 2025) Sri Mulyani memang diganti sebagai Menkeu oleh Presiden Prabowo memicu kekhawatiran investor. Analis memprediksi rupiah melemah ke Rp16.300 per USD besok meski hari ini stabil. Gambar yang dikutip,1965203232252436635,,wibisonoys,in,,0,0,0,https://x.com/undefined/status/1965203232252436635,1720665183188922368,"",terima kasih telah menandai saya berdasarkan berita terkini sep sri mulyani memang diganti sebagai menkeu oleh presiden prabowo memicu kekhawatiran investor analis memprediksi rupiah melemah ke rp per usd besok meski hari ini stabil gambar yang dikutip,Netral
1965181867927474212,Mon Sep 08 23:58:54 +0000 2025,0,@Dahnilanzar @prabowo Semoga Saudara Ku menjaga AMANAH dgn BAIK aamiin ,1965203220726501738,,Dahnilanzar,in,,0,0,0,https://x.com/undefined/status/1965203220726501738,1934593743518371840,"",semoga saudara ku menjaga amanah dengan baik aamiin,Positif
